UID          PID    PPID  C STIME TTY          TIME CMD
root        5646    1242  0 Nov14 ?        00:00:12 /usr/bin/containerd-shim-runc-v2 -namespace plugins.moby -id b75f6d649f882deabea30cf1e3222d3881a78e14d8a93ebb04e1957aa786a0c4 -address /run/containerd/containerd.sock
root        5669    5646  0 Nov14 ?        00:00:22 /usr/bin/docker-logging-driver
root       10467    1242  0 Nov14 ?        00:00:31 /usr/bin/containerd-shim-runc-v2 -namespace lzc-docker -id 7275ad2640886a9681c2d8b521919e7da79826efa66c0d63c65918829b6345ca -address /run/containerd/containerd.sock
root       10495   10467  0 Nov14 ?        00:23:41 /lzcinit/cloud.lazycat.shell.appstore -listen :80 -grpc_listen :81
root       10700    1242  0 Nov14 ?        00:00:12 /usr/bin/containerd-shim-runc-v2 -namespace lzc-docker -id 1be9683beb3059524f58a04a3c2b4b6b552d4bd23740f0517dbfbd9072f73a61 -address /run/containerd/containerd.sock
root       10731   10700  0 Nov14 ?        00:00:14 /lzcai -addr :10080
root       10800    1242  0 Nov14 ?        00:00:31 /usr/bin/containerd-shim-runc-v2 -namespace lzc-docker -id 41bf21e970cd855c6ef70c09102bb7d8b409208a47b68a52a273510e4126738d -address /run/containerd/containerd.sock
root       10828   10800  0 Nov14 ?        00:00:06 /lzcinit/cloud.lazycat.app.contacts -listen :80 -grpc_listen :81
root       10863    1242  0 Nov14 ?        00:00:13 /usr/bin/containerd-shim-runc-v2 -namespace lzc-docker -id 684bb7777299c1d09dabf53a7b1f48f02063b2256d05c0d26d4324bd86daabb0 -address /run/containerd/containerd.sock
root       10885   10863  0 Nov14 ?        00:00:04 /sbin/tini -- /root/smbforwarder
root       10898   10885  0 Nov14 ?        00:00:02 /root/smbforwarder
root       11054   10828  0 Nov14 ?        00:00:05 /lzcapp/pkg/content/lzc-contacts
root       11200    1242  0 Nov14 ?        00:00:12 /usr/bin/containerd-shim-runc-v2 -namespace lzc-docker -id 2fc3045a36a6f5537ed06fb6ff436fad150447ed024c062d8688110b419e1d36 -address /run/containerd/containerd.sock
root       11221   11200  0 Nov14 ?        00:00:04 tini -- /app/lzc-file-mount
root       11292   11221  0 Nov14 ?        00:00:08 /app/lzc-file-mount
nobody     11380   11292  0 Nov14 ?        00:00:00 rpc.statd -F
message+   11402   11221  0 Nov14 ?        00:00:00 rpcbind -w
root       11472    1242  0 Nov14 ?        00:00:12 /usr/bin/containerd-shim-runc-v2 -namespace lzc-docker -id e431293aae03319c3f62c232c40f48b96f9660ac2735008b27e4e470c6fe8ea2 -address /run/containerd/containerd.sock
root       11491   11472  0 Nov14 ?        00:00:31 /lzc-media/bin/lzc-media-service-static -config /lzc-media/defaultConfig.json
root       11681    1242  0 Nov14 ?        00:00:12 /usr/bin/containerd-shim-runc-v2 -namespace lzc-docker -id 6d617429621207f11e3eb8138e9d5914aae56ff9cd21e2d7bd0d4a5e9e0e82b4 -address /run/containerd/containerd.sock
root       11701   11681  0 Nov14 ?        00:00:00 /bin/sh /entrypoint_cpp.sh
root       11871   11701  0 Nov14 ?        00:00:00 /usr/bin/funasrgo
root       11953    1242  0 Nov14 ?        00:00:29 /usr/bin/containerd-shim-runc-v2 -namespace lzc-docker -id d2068bff4daf0304e528af628d2d6e40e8753d3176dddc91b04b7dade634638c -address /run/containerd/containerd.sock
root       11972   11953  2 Nov14 ?        01:05:50 /lzcinit/cloud.lazycat.shell.files -listen :80 -grpc_listen :81
root       12151   11972  0 Nov14 ?        00:00:00 sh -c /lzcapp/pkg/content/app.sh
root       12159    1242  0 Nov14 ?        00:00:12 /usr/bin/containerd-shim-runc-v2 -namespace lzc-docker -id 0245f0a5895b09e063817c540fa5c5e539c037021064b37365902720973a75ab -address /run/containerd/containerd.sock
root       12197   12159  0 Nov14 ?        00:00:04 /sbin/tini -- /usr/local/bin/smbserver
root       12301   12151  0 Nov14 ?        00:00:00 /bin/bash /lzcapp/pkg/content/app.sh
root       12322   12197  0 Nov14 ?        00:00:03 /usr/local/bin/smbserver
root       12467   12301  1 Nov14 ?        00:50:08 /lzcapp/pkg/content/backend
root       12667   12322  0 Nov14 ?        00:00:00 smbd --foreground --no-process-group --debuglevel=1 --debug-stdout
root       13352   12667  0 Nov14 ?        00:00:00 smbd --foreground --no-process-group --debuglevel=1 --debug-stdout
root       13353   12667  0 Nov14 ?        00:00:00 smbd --foreground --no-process-group --debuglevel=1 --debug-stdout
root       13477    1242  0 Nov14 ?        00:00:29 /usr/bin/containerd-shim-runc-v2 -namespace lzc-docker -id 921de5a6b269cbc8784483cdfcd8963181e44621ac5a8a59ac20f25391552559 -address /run/containerd/containerd.sock
root       13497   13477  0 Nov14 ?        00:00:05 /lzcinit/lazycat.community.app.openlist -listen :80 -grpc_listen :81
root       13959    1242  0 Nov14 ?        00:00:13 /usr/bin/containerd-shim-runc-v2 -namespace lzc-docker -id 5f72e8e169efd5d48276004f261dea118b410cf05f2e5d8cb22115848c6d3dcf -address /run/containerd/containerd.sock
root       13980   13959  0 Nov14 ?        00:00:09 ./openlist server --no-prefix
root       14321   13980  0 Nov14 ?        00:00:01 runsvdir /opt/service/start
root       14421   10898  0 Nov14 ?        00:00:04 nmbd --debug-stdout --interactive --foreground --no-process-group
root       14432   10898  0 Nov14 ?        00:00:08 /usr/sbin/wsdd2 -G WORKGROUP
root       14433   10898  0 Nov14 ?        00:14:59 avahi-daemon: running [lzcbox-60378f6b.local]
root       14513   14321  0 Nov14 ?        00:00:00 runsv aria2
root       14514   14513  0 Nov14 ?        00:00:00 svlogd /opt/openlist/data/log/aria2
root       14515   14513  0 Nov14 ?        00:00:11 aria2c --enable-rpc --rpc-allow-origin-all --conf-path=/opt/aria2/.aria2/aria2.conf
root       15018   12467  0 Nov14 ?        00:00:08 rclone rcd --rc-addr unix:///tmp/rclone/rclone.sock --rc-no-auth --config /tmp/rclone.conf
root       15126    1242  0 Nov14 ?        00:00:18 /usr/bin/containerd-shim-runc-v2 -namespace lzc-docker -id ea760d245b88027153b57794d03929ad1e3d9df8601e37f564b468279a441118 -address /run/containerd/containerd.sock
root       15145   15126  0 Nov14 ?        00:05:47 /lzcapp/pkg/content/discover.amd64
root       15218    1242  0 Nov14 ?        00:00:29 /usr/bin/containerd-shim-runc-v2 -namespace lzc-docker -id 2d69322ac75bacafa57f60df20e1a6d7e0661182927f6a78d5d3d7dbeaa01309 -address /run/containerd/containerd.sock
dnsmasq    15237   15218  0 Nov14 ?        00:00:07 postgres
root       15540    1242  0 Nov14 ?        00:00:12 /usr/bin/containerd-shim-runc-v2 -namespace lzc-docker -id c22ddfb6a5368dcf0e1a081c8e894c0c186e13037d938ec9fd43e78327a81718 -address /run/containerd/containerd.sock
root       15576   15540  0 Nov14 ?        00:00:05 /app/mtrans
root       15657    1242  0 Nov14 ?        00:00:31 /usr/bin/containerd-shim-runc-v2 -namespace lzc-docker -id 0e909255e0a6df030c257aded0b9b55b17b33113d8c54c538d9167e6979e39e7 -address /run/containerd/containerd.sock
root       15676   15657  0 Nov14 ?        00:00:05 /lzcinit/cloud.lazycat.app.customrelay -listen :80 -grpc_listen :81
root       15834   15676  1 Nov14 ?        00:30:12 ld-linux-x86-64.so.2 --argv0 /lzcapp/pkg/content/backend --preload /lib/libgcompat.so.0  -- /lzcapp/pkg/content/backend
root       16058    1242  0 Nov14 ?        00:00:30 /usr/bin/containerd-shim-runc-v2 -namespace lzc-docker -id c2a386c957c202bbfce596129a9e6dfa4fa0c5061d8592b52434b6250662324b -address /run/containerd/containerd.sock
root       16077   16058  0 Nov14 ?        00:00:13 /lzcinit/cloud.lazycat.app.ai -listen :80 -grpc_listen :81
root       16177    1242  0 Nov14 ?        00:00:12 /usr/bin/containerd-shim-runc-v2 -namespace lzc-docker -id a8168fa366c60c75822cac38e5c9e7826cf1c6351b9f94b609231afc4ccd5444 -address /run/containerd/containerd.sock
root       16197   16177  0 Nov14 ?        00:00:00 /lzcinit/cloud.lazycat.app.ai -setup-script caddy
root       16558   16197  0 Nov14 ?        00:00:19 caddy run --config /etc/caddy/Caddyfile --adapter caddyfile
dnsmasq    17286   15237  0 Nov14 ?        00:00:00 postgres: checkpointer 
dnsmasq    17287   15237  0 Nov14 ?        00:00:00 postgres: background writer 
dnsmasq    17336   15237  0 Nov14 ?        00:00:00 postgres: walwriter 
dnsmasq    17337   15237  0 Nov14 ?        00:00:00 postgres: autovacuum launcher 
dnsmasq    17338   15237  0 Nov14 ?        00:00:00 postgres: logical replication launcher 
root       18044    1242  0 Nov14 ?        00:00:12 /usr/bin/containerd-shim-runc-v2 -namespace lzc-docker -id 9d86db7fc369252055796dcccb8d003aa9ba047f6091ac22b145cc87a83a13c8 -address /run/containerd/containerd.sock
root       18068   18044  0 Nov14 ?        00:02:20 /lzcapp/pkg/content/convert.amd64
root       18129    1242  0 Nov14 ?        00:00:19 /usr/bin/containerd-shim-runc-v2 -namespace lzc-docker -id bf11feb443ce5da7d8d94f112ca033083e9cec3c9aa437de60fe733a586868c3 -address /run/containerd/containerd.sock
root       18149   18129  0 Nov14 ?        00:01:09 /lzcapp/pkg/content/server.amd64
dnsmasq    18494   15237  0 Nov14 ?        00:00:46 postgres: postgres postgres 172.28.0.198(50588) idle
dnsmasq    18766   15237  0 Nov14 ?        00:00:00 postgres: postgres postgres 172.28.0.199(59710) idle
root      122489    1242  0 10:49 ?        00:00:03 /usr/bin/containerd-shim-runc-v2 -namespace lzc-docker -id 1b5ebc5c35ebcab5ad77266b54ba723d5ab6cf7c9f6684543e1e14da75d1c1fa -address /run/containerd/containerd.sock
root      122527  122489  0 10:49 ?        00:00:00 node /app/main.js
root      123162    1242  0 10:49 ?        00:00:07 /usr/bin/containerd-shim-runc-v2 -namespace lzc-docker -id 94e19b39929a112e7fd09e1350254ba319d171ef73f6b514e0e0d9fc80065d52 -address /run/containerd/containerd.sock
root      123183  123162  0 10:49 ?        00:00:01 /lzcinit/cloud.lazycat.app.create -listen :80 -grpc_listen :81
root      155135    1242  0 10:51 ?        00:00:07 /usr/bin/containerd-shim-runc-v2 -namespace lzc-docker -id da928bbc14df60919e4c9442fcfda7beca595d6e03ec1e7315e4f4e376c6f8a2 -address /run/containerd/containerd.sock
root      155154  155135  0 10:51 ?        00:00:01 /lzcinit/xyz.mxue.maxkb -listen :80 -grpc_listen :81
root      155383    1242  0 10:51 ?        00:00:03 /usr/bin/containerd-shim-runc-v2 -namespace lzc-docker -id f6d05025b77b4f88de3527b6a43c01838bd284df36c2b52354c1e428c3bd8124 -address /run/containerd/containerd.sock
root      155406  155383  0 10:51 ?        00:00:00 /bin/bash /usr/bin/start-all.sh
root      155635  155406  0 10:51 ?        00:00:00 /bin/bash /usr/bin/start-postgres.sh
dnsmasq   155679  155635  0 10:51 ?        00:00:01 postgres -c max_connections=1000
root      171612  155406  0 10:52 ?        00:00:00 /bin/bash /usr/bin/start-redis.sh
root      171622  171612  0 10:52 ?        00:01:55 redis-server 0.0.0.0:6379
dnsmasq   171669  155679  0 10:52 ?        00:00:00 postgres: checkpointer 
dnsmasq   171670  155679  0 10:52 ?        00:00:00 postgres: background writer 
dnsmasq   171823  155679  0 10:52 ?        00:00:00 postgres: walwriter 
dnsmasq   171824  155679  0 10:52 ?        00:00:00 postgres: autovacuum launcher 
dnsmasq   171825  155679  0 10:52 ?        00:00:00 postgres: logical replication launcher 
root      172916  155406  0 10:52 ?        00:00:00 /bin/bash /usr/bin/start-maxkb.sh
root      172926  172916  0 10:52 ?        00:00:09 python /opt/maxkb-app/main.py start
dnsmasq   173425  155679  0 10:52 ?        00:00:00 postgres: root maxkb 127.0.0.1(46284) idle
root      176146  172926  0 10:53 ?        00:00:02 /opt/py3/bin/python /opt/py3/bin/gunicorn maxkb.wsgi:application -b 127.0.0.1:11636 -k gthread --threads 200 -w 1 --max-requests 0 --max-requests-jitter 2048 --timeout 0 --graceful-timeout 0 --access-logformat %(h)s %(t)s %(L)ss "%(r)s" %(s)s %(b)s  --access-logfile /dev/null --error-logfile -
root      176147  172926  0 10:53 ?        00:00:02 /opt/py3/bin/python /opt/py3/bin/gunicorn maxkb.wsgi:application -b 0.0.0.0:8080 -k gthread --threads 200 -w 3 --max-requests 10240 --max-requests-jitter 2048 --timeout 0 --graceful-timeout 0 --access-logformat %(h)s %(t)s %(L)ss "%(r)s" %(s)s %(b)s  --access-logfile /dev/null --error-logfile -
root      176148  172926  0 10:53 ?        00:00:44 /opt/py3/bin/python /opt/py3/bin/celery -A ops worker -P threads -l error -c 10 -Q celery --heartbeat-interval 10 -n celery@%h --without-mingle
root      176384  176147  0 10:53 ?        00:00:24 /opt/py3/bin/python /opt/py3/bin/gunicorn maxkb.wsgi:application -b 0.0.0.0:8080 -k gthread --threads 200 -w 3 --max-requests 10240 --max-requests-jitter 2048 --timeout 0 --graceful-timeout 0 --access-logformat %(h)s %(t)s %(L)ss "%(r)s" %(s)s %(b)s  --access-logfile /dev/null --error-logfile -
root      176385  176146  0 10:53 ?        00:00:05 /opt/py3/bin/python /opt/py3/bin/gunicorn maxkb.wsgi:application -b 127.0.0.1:11636 -k gthread --threads 200 -w 1 --max-requests 0 --max-requests-jitter 2048 --timeout 0 --graceful-timeout 0 --access-logformat %(h)s %(t)s %(L)ss "%(r)s" %(s)s %(b)s  --access-logfile /dev/null --error-logfile -
root      176400  176147  0 10:53 ?        00:00:15 /opt/py3/bin/python /opt/py3/bin/gunicorn maxkb.wsgi:application -b 0.0.0.0:8080 -k gthread --threads 200 -w 3 --max-requests 10240 --max-requests-jitter 2048 --timeout 0 --graceful-timeout 0 --access-logformat %(h)s %(t)s %(L)ss "%(r)s" %(s)s %(b)s  --access-logfile /dev/null --error-logfile -
root      176401  176147  0 10:53 ?        00:00:15 /opt/py3/bin/python /opt/py3/bin/gunicorn maxkb.wsgi:application -b 0.0.0.0:8080 -k gthread --threads 200 -w 3 --max-requests 10240 --max-requests-jitter 2048 --timeout 0 --graceful-timeout 0 --access-logformat %(h)s %(t)s %(L)ss "%(r)s" %(s)s %(b)s  --access-logfile /dev/null --error-logfile -
dnsmasq   177132  155679  0 10:53 ?        00:00:00 postgres: root maxkb 127.0.0.1(51230) idle
dnsmasq   180876  155679  0 10:53 ?        00:00:00 postgres: root maxkb 127.0.0.1(47368) idle
dnsmasq   181439  155679  0 10:53 ?        00:00:00 postgres: root maxkb 127.0.0.1(47382) idle
dnsmasq   181461  155679  0 10:53 ?        00:00:00 postgres: root maxkb 127.0.0.1(47392) idle
dnsmasq   193528  155679  0 10:54 ?        00:00:00 postgres: root maxkb 127.0.0.1(42716) idle
dnsmasq   193529  155679  0 10:54 ?        00:00:00 postgres: root maxkb 127.0.0.1(42726) idle
dnsmasq   206186  155679  0 10:55 ?        00:00:00 postgres: root maxkb 127.0.0.1(45620) idle
dnsmasq   210454  155679  0 10:55 ?        00:00:00 postgres: root maxkb 127.0.0.1(51222) idle
dnsmasq   276647  155679  0 10:59 ?        00:00:00 postgres: root maxkb 127.0.0.1(56238) idle
dnsmasq   484608   15237  0 15:54 ?        00:00:09 postgres: postgres postgres 172.28.0.198(35076) idle
root      498915    1242  0 15:55 ?        00:00:03 /usr/bin/containerd-shim-runc-v2 -namespace lzc-docker -id 1e5130fe8aa2c7724e939cc446667012e6dafff374728b31c629d23b216757e7 -address /run/containerd/containerd.sock
root      498916    1242  0 15:55 ?        00:00:01 /usr/bin/containerd-shim-runc-v2 -namespace lzc-docker -id 8faee164fdb0bcddc2ead25b1580f6dba10452044d35bfac71d40962e66f1635 -address /run/containerd/containerd.sock
70        498958  498915  0 15:55 ?        00:00:00 postgres
root      498962  498916  0 15:55 ?        00:00:00 /sbin/docker-init -- bash -c date;python server.py
root      499077    1242  0 15:55 ?        00:00:03 /usr/bin/containerd-shim-runc-v2 -namespace lzc-docker -id 6074fa3459ab4232a18207efb68667f9f6580b2cdd43b9c11db5b739250d5ea5 -address /run/containerd/containerd.sock
root      499097  499077  1 15:55 ?        00:04:34 /bin/weaviate --host 0.0.0.0 --port 8080 --scheme http
root      499120  498962  4 15:55 ?        00:12:16 python server.py
70        500466  498958  0 15:55 ?        00:00:00 postgres: checkpointer 
70        500467  498958  0 15:55 ?        00:00:00 postgres: background writer 
70        500527  498958  0 15:55 ?        00:00:01 postgres: walwriter 
70        500528  498958  0 15:55 ?        00:00:00 postgres: autovacuum launcher 
70        500529  498958  0 15:55 ?        00:00:00 postgres: logical replication launcher 
root      502762    1242  0 15:55 ?        00:00:03 /usr/bin/containerd-shim-runc-v2 -namespace lzc-docker -id b0f6e1822ab89cc46ee509b58b34da6d8c28b1d8a329dc4bea13cd31f869db68 -address /run/containerd/containerd.sock
root      502782  502762  1 15:55 ?        00:03:27 /lzcinit/cloud.lazycat.app.photo -listen :80 -grpc_listen :81
root      502916  502782  0 15:55 ?        00:00:00 /bin/bash /lzcapp/pkg/content/app.sh
root      503047  502916  0 15:55 ?        00:02:01 /lzcapp/pkg/content/lzc-photo
root      504570  503047  0 15:55 ?        00:00:00 perl /usr/bin/exiftool -stay_open True -@ -
70        511462  498958  0 15:56 ?        00:00:01 postgres: lzc lzc [local] idle
70        878116  498958  0 16:20 ?        00:00:00 postgres: lzc lzc [local] idle
root     1004189    1242  0 Nov15 ?        00:00:17 /usr/bin/containerd-shim-runc-v2 -namespace lzc-docker -id 20771b056459a1fe2d87b9e2adee136dcef5380203d021ad9a388ccc9c5b2352 -address /run/containerd/containerd.sock
root     1004209 1004189  0 Nov15 ?        00:00:03 /lzcinit/cloud.lazycat.app.onemcp -listen :80 -grpc_listen :81
