Module                  Size  Used by
sg                     45056  0
lzc_wdt                12288  0
watchdog               49152  1 lzc_wdt
fuse                  208896  1
drm                   765952  7 drm_kms_helper,drm_display_helper,drm_buddy,i915,ttm
efi_pstore             12288  0
dm_mod                217088  0
configfs               69632  1
ip_tables              28672  0
x_tables               61440  12 xt_conntrack,nft_compat,xt_multiport,xt_tcpudp,xt_addrtype,xt_CHECKSUM,xt_nat,xt_TPROXY,ip_tables,xt_MASQUERADE,ip6t_REJECT,xt_REDIRECT
autofs4                57344  4
efivarfs               24576  1
hid_generic            12288  0
usbhid                 77824  0
hid                   176128  2 usbhid,hid_generic
erofs                 131072  8
libcrc32c              12288  5 nf_conntrack,nf_nat,erofs,btrfs,nf_tables
isofs                  53248  0
overlay               196608  75
9p                     90112  0
fscache               397312  1 9p
netfs                  69632  2 9p,fscache
squashfs               81920  0
crc32c_intel           16384  7
crc32c_generic         12288  0
nls_ascii              12288  0
nls_cp437              16384  0
vfat                   20480  0
fat                   102400  1 vfat
ext4                 1130496  2
mbcache                16384  1 ext4
crc16                  12288  2 bluetooth,ext4
jbd2                  200704  1 ext4
loop                   36864  18
virtio_blk             32768  0
nvme                   57344  2
nvme_core             196608  3 nvme
sr_mod                 28672  0
cdrom                  81920  2 isofs,sr_mod
sd_mod                 86016  2
t10_pi                 20480  2 sd_mod,nvme_core
crc64_rocksoft         16384  1 t10_pi
crc64                  16384  1 crc64_rocksoft
crct10dif_generic      12288  0
crc_t10dif             16384  1 t10_pi
crct10dif_common       12288  3 crct10dif_generic,crc_t10dif,crct10dif_pclmul
vmd                    24576  0
uas                    32768  0
usb_storage            86016  1 uas
ata_piix               45056  0
ata_generic            12288  0
xhci_pci               24576  0
xhci_hcd              352256  1 xhci_pci
uhci_hcd               61440  0
ehci_pci               16384  0
ehci_hcd              110592  1 ehci_pci
usbcore               409600  9 xhci_hcd,ehci_pci,usbhid,usb_storage,ehci_hcd,btusb,xhci_pci,uas,uhci_hcd
