start	2025-11-16 20:15:38
	77.167µs
	74.125µs
	45.833µs
	47.5µs
netstat.txt	2.193041ms
env.txt	6.646166ms
tuninfo.txt	6.291833ms
buildinfo.txt	6.726625ms
boxes.json	6.82475ms
memory.txt	6.74925ms
peers.txt	7.997334ms
clientinfo.json	7.15775ms
stderr.log	11.386708ms
high-heap.pprof	8.533167ms
log.json	20.434709ms
heap.pprof	20.698667ms
punchhole.log	40.3855ms
ios_client_wangjia666.heiyu.space.log	373.982292ms
other.txt	1.089304625s
relay.log	3.001465416s
nettype.json	5.12002025s
box_home.txt	52.446303292s
over	52.449918417s
