REPOSITORY                                                                          TAG                               IMAGE ID       CREATED         SIZE
registry.lazycat.cloud/longixaoyi/redis                                             b0fd324311930adb                  63cea5a29f4b   5 months ago    128MB
registry.lazycat.cloud/lzc-files/lzc-file-mount                                     703656b                           5ced2697d6b4   5 months ago    156MB
registry.lazycat.cloud/ai/funasr_cpp                                                48a508f8                          993cc4deccf4   5 months ago    2.39GB
registry.lazycat.cloud/vim/library/alpine                                           forward20250513171707             3a742d7b1529   6 months ago    15.5MB
registry.lazycat.cloud/nyanmisaka/jellyfin                                          250503-amd64                      a3deaaefacaf   6 months ago    1.25GB
registry.lazycat.cloud/catdogai/jieba                                               0.42.1-403da521                   c7cdc8f0e408   6 months ago    1.11GB
registry.lazycat.cloud/catdogai/postgres                                            17.4-1-pgvectorscale-20250422     83f319a6a403   6 months ago    441MB
registry.lazycat.cloud/catdog/amir20/dozzle                                         e675824d3a7cb863                  0569a06814fe   7 months ago    55.4MB
registry.lazycat.cloud/app-tv-controller                                            1.0                               fb1e98f4acec   8 months ago    275MB
registry.lazycat.cloud/lzc/postgres                                                 17-alpine3.20                     4e6b377122b8   8 months ago    249MB
registry.lazycat.cloud/tx1ee/library/postgres                                       555494fe13a011d8                  563071385448   8 months ago    438MB
registry.lazycat.cloud/longixaoyi/tensorchord/pgvecto-rs                            c6fbd602a6b07cba                  0f34b9d33ba8   8 months ago    686MB
registry.lazycat.cloud/louislam/dockge                                              0.0.4                             2057c8b4e17b   8 months ago    467MB
registry.lazycat.cloud/official/glzjinglzjin-lzc/lazycatonlinedevice                5f5f107e5d773b79                  ce57a2b52b82   8 months ago    30MB
registry.lazycat.cloud/official/glzjinglzjin-lzc/lzcapphelper                       bd75664476624664                  95410fa6a6b4   9 months ago    47MB
registry.lazycat.cloud/jackett                                                      v0.22.1411-7                      98c9aecff074   9 months ago    330MB
registry.lazycat.cloud/dockurr/windows                                              1.0.14-patched                    90bf16a8ca35   9 months ago    389MB
registry.lazycat.cloud/snyh1010/library/nginx                                       54809b2f36d0ff38                  53a18edff809   9 months ago    192MB
registry.lazycat.cloud/lzc/weaviate                                                 1.28.2-2b40d6e                    6f23dc3d8e22   10 months ago   177MB
registry.lazycat.cloud/tx1ee/library/redis                                          7f346df9cd82ade3                  43724892d6db   10 months ago   117MB
registry.lazycat.cloud/lzc/debug-bridge                                             v0.0.28                           f170d538ebfa   11 months ago   974MB
registry.lazycat.cloud/ai/ai/open-webui                                             0.4.7-6f5a3b23                    f30a222aee9a   11 months ago   4.31GB
registry.lazycat.cloud/ai/intelanalytics/ipex-llm-inference-cpp-xpu                 6f5a3b23                          d73543417a53   11 months ago   4.8GB
registry.lazycat.cloud/zeroc/ourongxing/newsnow                                     759c9c290177b737                  ae53e74faab9   11 months ago   139MB
registry.lazycat.cloud/nginx                                                        1.27.3                            66f8bdd3810c   11 months ago   192MB
registry.lazycat.cloud/lzc/lzcapp                                                   3.20.3                            ba7a533c869a   11 months ago   10.3MB
registry.lazycat.cloud/v2raya                                                       0.0.4                             bcedb59ec1d4   12 months ago   131MB
registry.lazycat.cloud/emby/embyserver                                              4.8.10.0                          361fc5127aea   13 months ago   672MB
registry.lazycat.cloud/alpine                                                       3.18                              18f865063206   16 months ago   7.35MB
registry.lazycat.cloud/registry                                                     2                                 d6b2c32a0f14   2 years ago     25.4MB
registry.lazycat.cloud/d1y/installer-server                                         0.5                               6f1f3831e00e   2 years ago     142MB
registry.lazycat.cloud/aria2ng                                                      1.36.0-2                          88c475f54c7a   2 years ago     67.8MB
registry.lazycat.cloud/librespeed                                                   23.5.12                           a6292eb82e9d   3 years ago     478MB

real	0m1.191s
user	0m0.697s
sys	0m0.698s
