lzc-recovery  | 2025-11-14T15:44:35.810757000Z   "dataPartition": "Ok",
hext          | 2025-11-15T07:29:55.182403000Z discovering nat...
lzc-recovery  | 2025-11-14T15:44:35.810792000Z   "hportalInitialized": true,
hext          | 2025-11-15T07:30:00.189459000Z failed to establish mapping: no nat discovered
lzc-recovery  | 2025-11-14T15:44:35.810822000Z   "startupStatus": {
hext          | 2025-11-15T08:29:00.189620000Z time's up, re-establishing port mapping...
lzc-recovery  | 2025-11-14T15:44:35.810858000Z     "status": "PENDING",
hext          | 2025-11-15T08:29:00.190981000Z discovering nat...
lzc-recovery  | 2025-11-14T15:44:35.810888000Z     "exception": "Ok",
hext          | 2025-11-15T08:29:05.197014000Z failed to establish mapping: no nat discovered
lzc-recovery  | 2025-11-14T15:44:35.810932000Z     "exceptionData": "disk status is NotMounted"
hext          | 2025-11-15T09:28:05.199063000Z time's up, re-establishing port mapping...
lzc-recovery  | 2025-11-14T15:44:35.810977000Z   },
hext          | 2025-11-15T09:28:05.199930000Z discovering nat...
lzc-recovery  | 2025-11-14T15:44:35.811022000Z   "shutdownReason": 0
hext          | 2025-11-15T09:28:10.207934000Z failed to establish mapping: no nat discovered
lzc-recovery  | 2025-11-14T15:44:35.811056000Z }
hext          | 2025-11-15T10:27:10.209571000Z time's up, re-establishing port mapping...
lzc-recovery  | 2025-11-14T15:44:35.811096000Z 2025-11-14T23:44:35.810+0800	INFO	status	boxStatus/status.go:38	box system status:
hext          | 2025-11-15T10:27:10.210484000Z discovering nat...
lzc-recovery  | 2025-11-14T15:44:35.811140000Z {}
hext          | 2025-11-15T10:27:15.220703000Z failed to establish mapping: no nat discovered
lzc-recovery  | 2025-11-14T15:44:35.821153000Z 2025-11-14T23:44:35.821+0800	INFO	status	boxStatus/startup.go:176	enter startup(STARTING)
hext          | 2025-11-15T11:26:15.221466000Z time's up, re-establishing port mapping...
